name,host,port,agent_type,status
pve-rover01,10.25.1.5,45876,binary,installed
rova-docka,10.25.1.12,45876,docker,installed
rova-pihole,10.25.1.15,45876,binary,installed
rova-cloudflared,10.25.1.19,45876,binary,installed
rover-plexd,10.25.1.11,45876,binary,installed
rova-sonarr,10.25.1.16,45876,binary,installed
rova-radarr,10.25.1.24,45876,binary,installed
rova-sabnzbd,10.25.1.14,45876,binary,installed
rover-sabnzbd-old,10.25.1.53,45876,binary,installed
rova-transmission,10.25.1.13,45876,binary,installed
rova-filerr,10.25.1.10,45876,binary,installed
rova-checkmk,10.25.1.22,45876,binary,installed
rova-beszel,10.25.1.20,45876,binary,installed
rova-glance,10.25.1.23,45876,binary,installed
rova-vscode-srv,10.25.1.21,45876,binary,installed
rova-tailscale,10.25.1.18,45876,binary,installed
